created,text,retwc,hashtag,followers,friends
2016-11-14 17:54:08,b'@theodd1sout \nis it the olympics?\nbecause you just brought home the gold! https://t.co/CtuJqMrWZO',0,None,132,505
2016-11-14 17:53:55,"b""Hillary = Tonya Harding, Bernie = Nancy Kerrigan. Think about it. Coulda won the '94 Olympics. #Election2016 #whywhywhy""",0,Election2016,146,98
2016-11-14 17:53:54,"b""RT @SOMissouri: Lunchtime reading: a firsthand account of @TimShriver and @RoyBlunt's visit to Special Olympics Missouri last week!\n\nhttps:\xe2\x80\xa6""",2,None,45974,7175
2016-11-14 17:53:45,b'RT @Louis_Tomlinson: Unbelievable memories ! https://t.co/P8cfKPN0Bw',100873,None,271,1715
2016-11-14 17:53:44,"b""We had a game 7 in both the World Series and Finals. You can't get better than that. Not to mention we had the Olympics this summer""",0,None,814,299
2016-11-14 17:53:41,"b'.@californiamag: 7-time Olympic medalist @danavollmer on life after Olympics, motherhood https://t.co/h9DygliTvU\xe2\x80\xa6 https://t.co/v80QsK6jKO'",1,None,33354,339
2016-11-14 17:53:29,b'RT @Olympics: Determination is a runners best friend. #MondayMotivation @iaaforg https://t.co/NUFLQqa2qt',122,MondayMotivation,38,110
2016-11-14 17:53:23,b'Wednesday meeting with IIHF should push NHL closer to decision on 2018 Olympics https://t.co/NuByVNlLYN',0,None,353,783
2016-11-14 17:53:01,"b""RT @stopdogcattrade: Gary Bettman: NHL Boycott the PyeongChang 2018 Olympics in Protest Of South Korea's Dog Meat Trade ... https://t.co/qt\xe2\x80\xa6""",14,None,671,599
2016-11-14 17:52:56,b'RT @Olympics: Determination is a runners best friend. #MondayMotivation @iaaforg https://t.co/NUFLQqa2qt',122,MondayMotivation,18,74
